id	kind	section	line_start	line_end	byte_start	byte_end	sha256
HS-U01-B017	heading	II	33	33	2211	2240	cca6339b779951582f942c90875dbbeed55de3cf7484b1bc268d16e580d66d7d
HS-U01-B018	paragraph	II	35	35	2242	2269	a561d14393f01301c782c5127823e946ea3d493d60f6dc469eb6ba3638172b74
HS-U01-B019	paragraph	II	37	37	2271	2489	9454f101fb4bd29c09eb1a54eb60823ede621fc3bf87efb8571821a1feaf9ac5
HS-U01-B020	paragraph	II	39	39	2491	2551	71ca41818d553a0f4608009d956b1131d1a17baf3dc2d44d01d71973c39e65cc
HS-U01-B021	paragraph	II	41	41	2553	2726	7e52201d72b6acb36000e762ed72f598ac7b326c8e7e09b487006238d3a978ae
HS-U01-B022	paragraph	II	43	43	2728	2916	d4846251fe24b975ac4e879b00f4c3f62f8268edb8e89bd1fc24cbb815ea0560
HS-U01-B023	paragraph	II	45	45	2918	3220	c27294c4753f079f855749a76523b31167ba64c06af94bffe699b1d8026d8309
HS-U01-B024	paragraph	II	47	47	3222	3319	6c16901a94e4fca0c7b5a3cb0fe37aac7237194ff2e4e37d37ac9dc3a0d3a471
HS-U01-B025	heading	III	49	49	3321	3359	6218f55d0907dd8295a4b273adce76dd4210df6034686d14bc3868f09fbbe0c5
HS-U01-B026	paragraph	III	51	51	3361	3462	abf8404354c5d3891e7ce63f6522395c1e0071c562ca65427a104517e8acd3ad
HS-U01-B027	paragraph	III	53	53	3464	3735	3805f8dbbfa0ba07ae1292814cebf484216d751e79d39bedab5154860b6bf697
HS-U01-B028	paragraph	III	55	55	3737	3843	961d3d861e136d66b274285dd5c91f47559e9ff64f22f8f3ff6ed863bcc04c2a
HS-U01-B029	paragraph	III	57	57	3845	4051	42a112e0e47abbcdc7540ee839e417376277a6c2efd23969b1be7d482486dc49
HS-U01-B030	paragraph	III	59	59	4053	4234	e954c3f19799d600762cd24c13d0ef76e092fcf1c8bcea49e7454ac37f5db0fb
HS-U01-B031	paragraph	III	61	61	4236	4411	a1212f62087bf7e96b6f26971790ff2c8dcc618388211114ed9f0ea0881c0a46
HS-U01-B032	paragraph	III	63	63	4413	4476	a277067e51f24468c1b282b42d80f3857471ab9d28440ac926504d5e4fb130e0
HS-U01-B033	paragraph	III	65	65	4478	4796	8809759b317043f2d6706022144d76e179beaea74baea63c3b2e5d17d7b80c5e
HS-U01-B034	paragraph	III	67	67	4798	5019	16296710b9a9d820c9a58bed87c0e4797a62bfcce77a8c1dbaf6de33ec9d0e61
HS-U01-B035	paragraph	III	69	69	5021	5167	6f763c593a04bb03c3930c465a8e761ba66c93f371163b85bd1fd18e3d294eb5
HS-U01-B036	paragraph	III	71	71	5169	5349	c0c1d9c05a41063fb67f6f6c3ac7bc37d7c65c1e5e0ced626dafad9ce71b0b78
HS-U01-B037	paragraph	III	73	73	5351	5510	416df2c892d65501e2ddd795151a98a3b32b29502fbc302e67878373cabcd6cc
HS-U01-B038	paragraph	III	75	75	5512	5630	523d9881d2a5f99480d0d0e4149199bc4ac48c8abb6d7526d1d0af77799d753f
HS-U01-B039	heading	IV	77	77	5632	5672	9840c2e92059221a267f87711ab30bc0644c7de33f5d2e6d16c2e02c2da14ddf
HS-U01-B040	paragraph	IV	79	79	5674	5712	7b0f278ad54c6fa07fc9425350816feae3615070f0b0f0368a69ac018d314af1
HS-U01-B041	paragraph	IV	81	81	5714	5983	a52e4bf0f6ff1abb859676322b5788bd10bc0c83801e8f25197b72e0f74013a6
HS-U01-B042	paragraph	IV	83	83	5985	6030	f8693b8bcc3a2cc996227f65df9e506535c1853ec98e29c86307d9f0b92de5b4
HS-U01-B043	paragraph	IV	85	85	6032	6232	050b4f41fc3f00435bc8cba486eae6972fdee0711409e9e2b6b20a3fb7e950dd
HS-U01-B044	paragraph	IV	87	87	6234	6320	8a20ffd2b00b257638162477bfbe639233d445e6488a19bc25655c2b37bd14d3
HS-U01-B045	paragraph	IV	89	89	6322	6515	eefdba01930ee1d4aa5a6f0bc3d2923c908db017eb0478477c5e5c12cd08c076
HS-U01-B046	paragraph	IV	91	91	6517	6781	5001df5b058572a14857dd7b0712005651a721198a4e38b40e62f35816e25081
HS-U01-B047	paragraph	IV	93	93	6783	6875	3a7547d810de7597bb82af0b97a2101ca1a4732de68aeb6dcbf787090059ac76
HS-U01-B048	paragraph	IV	95	95	6877	7082	a2e4b9dfaa7117d4b3ca68672e7e791ab5741dbed9aac0aefce277cf41097172
HS-U01-B049	paragraph	IV	97	97	7084	7224	f089c5c00262947afe2d14b7190c46acf3af6a039c14603aae78499ab455c792
HS-U01-B050	heading	V	99	99	7226	7277	1fa6e343fe03ed18330d6c683284019fb136f85eafc227f8d22098fdf3a844b3
HS-U01-B051	paragraph	V	101	101	7279	7346	c7517f0ea02d788f06cf639bdf34211d2153972c56b294538dacb35a1627d235
HS-U01-B052	paragraph	V	103	103	7348	7436	28ffd0f99b0a182203c2d6ecd0032913ffe4018c89259c938a8a5975ff4f2989
HS-U01-B053	paragraph	V	105	105	7438	7646	898c381c1768c5189e964e0aca651f5ee8aa6699f2e7726277f0da04c98409f3
HS-U01-B054	paragraph	V	107	107	7648	7740	771aa768728c7bd60daf92d9c748abdf543c25e99ac048c37f65f88e115aa681
HS-U01-B055	paragraph	V	109	109	7742	7931	4acff4c3a942f5a2c9407100ce63cce85ecc656e43e4a9800ef77fa41415d225
HS-U01-B056	paragraph	V	111	111	7933	8017	8aeda3a478cfd39650c0fa72c5782331b91c19c37ac3885bac8a5b1b81f99bf7
HS-U01-B057	paragraph	V	113	113	8019	8273	ea64e774558021633121eb3384770e109ee7d13f37e6792038c7f58c0700207a
HS-U01-B058	paragraph	V	115	115	8275	8473	6c4738d8cdbbff638b9aa23490c95a80948d7a20f4585b121384d2349ebc7694
HS-U01-B059	paragraph	V	117	117	8475	8638	6d1597d16fea06571b1d4472461ffbfa3826e57951ad93e7d722d40a14cf94ea
HS-U01-B060	paragraph	V	119	119	8640	8763	2aae8994881029d9cc60901497e86f7dcf7fcc1bcfdee0e41afc95fd8198c9e3
HS-U01-B061	heading	VI	121	121	8765	8821	c368140526b73da89cf412feab10058465b18abfefc86d958636392e249e542d
HS-U01-B062	paragraph	VI	123	123	8823	8937	f1e31a3d468cf37e2a3e09867e867137cae5f380f7df9312bfda598ab8c4a202
HS-U01-B063	paragraph	VI	125	125	8939	9155	7898f99cff13e93b28a3429b729448805467d83a24c48aa09674ed2b1a68170f
HS-U01-B064	paragraph	VI	127	127	9157	9273	472aa4bb1d20754e9188252f7fb76ad0cc1ef0f5d897451825b390fa7e6c9dfd
HS-U01-B065	paragraph	VI	129	129	9275	9337	b0f9748811b7ac29dd6c2ca560a54e90b08e76ed47ad7a3e912c292e99c43360
HS-U01-B066	paragraph	VI	131	131	9339	9417	77dd8bc3573d0ac428e5f2864c089ce1d699d0dddf2b82d67bb2f6e43d0ede57
HS-U01-B067	paragraph	VI	133	133	9419	9704	39590853c89c826c074cbfd9f2b0c2c47792ce344ab085660a2d37a6cf875f03
HS-U01-B068	paragraph	VI	135	135	9706	9972	17dd5b8a8aac26e06f3df14d9b63d8aaae1256ad3f774b406aa8734bf1a22ab1
HS-U01-B069	paragraph	VI	137	137	9974	10201	be5f1a62c1e20740a6b6088fe77bd344ac17aa75de27853109267ec5c342adc1
HS-U01-B070	paragraph	VI	139	139	10203	10367	6db6ab1c0c807ae36cb8329d97ed453452e6458bf449caa58c866d9ceaace616
HS-U01-B071	paragraph	VI	141	141	10369	10410	d9a22fc38328d36d60d04edcb6e3ba4acf410ac2ad587c115497000854e76469
HS-U01-B072	heading	VII	143	143	10412	10470	67773ea123052e3e1ad3455c35debb4fd4d2245cf962b64065b96471339d51b1
HS-U01-B073	paragraph	VII	145	145	10472	10571	054c975a745697e0efd6c515f654ff92fa4f8c7f833ec3a1847f65e9e5039c26
HS-U01-B074	paragraph	VII	147	147	10573	10804	67f0fbe2f445749549e6af71d3e1280c3cb9a7e64326e815b3bac6da6cf25568
HS-U01-B075	paragraph	VII	149	149	10806	10955	e4ce86497d0bb9bce683f9792bab1805e8013325e335e4c9ee1d918c25eceec9
HS-U01-B076	paragraph	VII	151	151	10957	11004	122bd9e5c17ac01e39d5633299c523584e62e09f5e46d7d4490ccdb15a6c1ea0
HS-U01-B077	paragraph	VII	153	153	11006	11242	8cb21217768a13db66eb71ccd1bc2c52faaf247c02a7d34ce57c81a5fc3905e2
HS-U01-B078	paragraph	VII	155	155	11244	11468	a936caa36851a239d98692cc598491a2f650f9617a912a19070728dd19843596
HS-U01-B079	paragraph	VII	157	157	11470	11532	fe5c15e8c7027c1151b3e7ed3becaa77cc6bae88d5c6339ed474c45aa1317714
HS-U01-B080	paragraph	VII	159	159	11534	11614	85fdd699ac39cca2f2fca71531d195edb3f4fff772295f7848bb77d55bb8d498
HS-U01-B081	heading	VIII	161	161	11616	11678	dd3cf6b9f141b668a1c138b14336c8c872faa9df362c9d681fda1de97b9e1970
HS-U01-B082	paragraph	VIII	163	163	11680	11738	a0304e70d2c1aea2e9ce8cacd4a58fce016ce70e8d1bdf84ec317f51a6cf5aca
HS-U01-B083	paragraph	VIII	165	165	11740	11980	6a66dffebbfc0438cbcdd7d1c1ea46ea445093a6f710a5f1663b3335f759097c
HS-U01-B084	paragraph	VIII	167	167	11982	12070	aba982dd1279dff8be93e295a8f197d81fd8e273ddcbc24944bb335570aec5ef
HS-U01-B085	paragraph	VIII	169	169	12072	12300	4aeee82636ba79d3e2bdefbf2f375a4d34d90ccef267f6fc4dcec043c3487b74
HS-U01-B086	paragraph	VIII	171	171	12302	12444	8c3f7f8228a7b9a41daf32f7e04b4e13293703a4cd4e490e1abe6279b7578a91
HS-U01-B087	paragraph	VIII	173	173	12446	12529	3f09a3bbf95c1e1c06bf799999dd8e847b67fede6f6aa4fdd64abf813849a441
HS-U01-B088	paragraph	VIII	175	175	12531	12718	cf306e311bc3f498b73377d8e773a7d68c6138aa0beff83cb63eecc8c68645fb
HS-U01-B089	paragraph	VIII	177	177	12720	12870	2fc9df5a8e71989368c564d09d77a787134c3f9a3b5f34f133915fd2f3e06761
HS-U01-B090	paragraph	VIII	179	179	12872	13038	a5ff1d5219de7566f02a875d8c7ce078f17c8e5d5e08a1005bdbe5e092fece40
HS-U01-B091	paragraph	VIII	181	181	13040	13130	6520b45297a24ee8c0d8360d9b7c4f5b626b4c7faf27416f6fcad4cabc7c8071
HS-U01-B092	heading	IX	183	183	13132	13174	72d3e108e71b4e989d7cef28f2ed49d5f65c624a8f7f0323eed3812df756c760
HS-U01-B093	paragraph	IX	185	185	13176	13338	4523ec169ccf15bc0624a3d52195b64a98007975bcae4e10ba6b7a53e48629ff
HS-U01-B094	paragraph	IX	187	187	13340	13394	e21fdea20d8ee87959476051893ed8c14a8871af77e33cca879e1ce09be834e8
HS-U01-B095	paragraph	IX	189	189	13396	13610	d7e8f4d11e249a2bbb53373703343bb1964d63de96a7c2cad3dea1cdf55bfb99
HS-U01-B096	paragraph	IX	191	191	13612	13748	022d30cd3ac24267c63e59515acdfb799d31392a61647f75a8d60df8410d81db
HS-U01-B097	paragraph	IX	193	193	13750	13904	2fcd4befcb80048868685740add99d30da108acced6d523d10c20ef6c46a604d
HS-U01-B098	paragraph	IX	195	195	13906	14095	19e43d30d1eb810970a69195d24eed4fb1799022a1d16e095e2e0f91040084db
HS-U01-B099	paragraph	IX	197	197	14097	14325	d499a3defe9ebd12ed787068af11d5c712159ca654de3d2b1dc6316729621df8
HS-U01-B100	paragraph	IX	199	199	14327	14506	bdadca043b6efeb54085afdf8ba5d92de106b312618f00a454d90df64a678441
HS-U01-B101	paragraph	IX	201	201	14508	14553	ec4ef7deef259a3c76ada914aaf3c50b7ce7bac5eaa52ff4aa9421fb9e82272e
HS-U01-B102	heading	X	203	203	14555	14591	0a07b112e905077b958d0d25a3776390bd6468cd4e26e7443dfe04c07fe88295
HS-U01-B103	paragraph	X	205	205	14593	14654	33d5dc03ad3509703bf960cfdcca8f0c06bbcbf6479a2d60d49c1b836d4bc990
HS-U01-B104	paragraph	X	207	207	14656	14907	10550f5e51c075c64f7d5ff7912580e3070dcf9c4211c1cc5efc2cef79aaa2bf
HS-U01-B105	paragraph	X	209	209	14909	14975	85e077563648f8027a548dd9406da3ba55c7f365f034b18a5449fe67dca749ed
HS-U01-B106	paragraph	X	211	211	14977	15164	a2a22560a42f769dab13e49b669e1ce20df3b99fe21272dafb25e61d7af90fd2
HS-U01-B107	paragraph	X	213	213	15166	15300	ca380e2f4c818342a31660ffe8e6d738efbb50fbd57806874ebc599b76411044
HS-U01-B108	paragraph	X	215	215	15302	15331	28fe3401ef77eb7bb6f31fd1f0fbcd4560cecf85d30e5f28c612a7edb1f3a23b
HS-U01-B109	paragraph	X	217	217	15333	15641	25b9d949e4ce5628930cc0cb76970a6bdd070f50aa40b0fd4f89de1d243919e7
HS-U01-B110	paragraph	X	219	219	15643	15794	e5052418bd0f4e8beea251266e956ff1c0bd9744dcfcf5aa893e7f921787d87a
HS-U01-B111	paragraph	X	221	221	15796	15891	7fa1e6ded7d1f8825a856f7d0e4b6f38523c510997b35db0d5c6d33a15aaeac6
HS-U01-B112	paragraph	X	223	223	15893	15936	8d0e780cbb6482b0df3a899baec21d88c4ee9fc5c5cd83e3bc384185d2ee09cc
HS-U01-B113	paragraph	X	225	225	15938	15986	8a768a8eb8b66557b08d98aacc59a02925baa2ca0fdb711b22667a1b2aa94eeb
HS-U01-B114	paragraph	ADDENDUM	227	227	15988	16810	d75a88d178707305f2e70cd3319217d75348d1d6cc030adfdd51c79b2f7a7262
HS-U01-B115	paragraph	ADDENDUM	229	229	16812	17779	e5fe0387ec274e51d2cddd35f158b4d52971d56fd44e79e517e39160c98be540
